bairro,regiao,latitude,longitude
Chácara Alvorada,Região Urbana Homogênea XXII,-21.7981318,-46.5295009
Jardim Campos Elísios,Região Urbana Homogênea XXIII,-21.7981758,-46.507839
Campos Elíseos,Região Urbana Homogênea XXIII,-21.7981758,-46.507839
Jardim Itamaraty I,Região Urbana Homogênea XXIV,-21.8164004,-46.500019
"Jardim Itamaraty I, II, III, IV e V",Região Urbana Homogênea XXIV,-21.8164004,-46.500019
Jardim Itamaraty V,Região Urbana Homogênea XXIV,-21.8114624,-46.5003808
Jardim Itamaraty II,Região Urbana Homogênea XXIV,-21.8164004,-46.500019
Parque Pinheiros,Região Urbana Homogênea XXIV,-21.8076838,-46.5042296
Marco Divisório,Região Urbana Homogênea XXVII,-21.8447508,-46.6797948
Jardim Das Hortênsias,Região Urbana Homogênea XX,-21.8084079,-46.5391315
Jardim dos Estados,Região Urbana Homogênea XIV,-21.7759002,-46.5523766
Jardim Country Club,Região Urbana Homogênea III,-21.7963333,-46.6150375
Monte Verde,Região Urbana Homogênea XX,-21.7948209,-46.5450916
Jardim Das Azaléias,Região Urbana Homogênea XX,-21.8099781,-46.5457536
Parque Primavera,Região Urbana Homogênea XXI,-21.7633067,-46.5210757
Jardim Amaryllis,Região Urbana Homogênea XX,-21.8052351,-46.5412384
Estancia Pocos de Caldas,Região Urbana Homogênea XXIV,-21.779225,-46.4825787
Jardim Doutor Ottoni,Região Urbana Homogênea III,-21.7931797,-46.609009
Jardim Philadelphia,Região Urbana Homogênea XXIII,-21.8203359,-46.5138553
Caio Junqueira,Região Urbana Homogênea XIX,-21.8056108,-46.5505702
Jardim dos Manacas,Região Urbana Homogênea III,-21.7988892,-46.6049089
Jardim Santa Rosalia,Região Urbana Homogênea XVII,-21.7790987,-46.5403355
Residencial Paineiras,Região Urbana Homogênea III,-21.7971894,-46.592133
Morada Dos Pássaros,Região Urbana Homogênea XXVI,-21.7982681,-46.4537256
Parque Véu das Noivas,Região Urbana Homogênea II,-21.7804822,-46.6138317
Vale das Antas,Região Urbana Homogênea II,-21.7551437,-46.6053922
Campo das Antas,Região Urbana Homogênea II,-21.7551437,-46.6053922
Jardim Paraíso,Região Urbana Homogênea XII,-21.8456583,-46.52589
Jardim Itamaraty III,Região Urbana Homogênea XXIV,-21.8136252,-46.502425
Jardim Formosa,Região Urbana Homogênea XXII,-21.7981122,-46.5385295
Parque San Carlo,Região Urbana Homogênea III,-21.7975849,-46.5924343
Jardim Europa,Região Urbana Homogênea VI,-21.8170063,-46.5909278
Jardim Philadelphia II,Região Urbana Homogênea XXIII,-21.8206701,-46.5210419
Bortolan,Região Urbana Homogênea I,-21.7740867,-46.630715
Jardim Novo Mundo,Região Urbana Homogênea VI,-21.7999744,-46.5879149
Parque Nova Aurora,Região Urbana Homogênea XIX,-21.8016687,-46.5421414
Bortolan Norte I,Região Urbana Homogênea I,-21.7740867,-46.630715
Panorama,Região Urbana Homogênea I,-21.7827694,-46.642778
Estância Poços de Caldas,Região Urbana Homogênea XXIV,-21.779225,-46.4825787
Jardim das Azáleas,Região Urbana Homogênea XX,-21.8099781,-46.5457536
Jardim das Amaryllis,Região Urbana Homogênea XX,-21.8052351,-46.5412384
Jardim das Hortênsias,Região Urbana Homogênea XX,-21.8084079,-46.5391315
Jardim dos Manacás,Região Urbana Homogênea III,-21.7988892,-46.6049089
Jardim Ottoni,Região Urbana Homogênea III,-21.7931797,-46.609009
Jardim Philadélphia,Região Urbana Homogênea XXIII,-21.8203359,-46.5138553
Morada das Flores,Região Urbana Homogênea XXV,-21.8192083,-46.4759651
Morada dos Pássaros,Região Urbana Homogênea XXV,-21.7982681,-46.4537256
Nova Aurora,Região Urbana Homogênea XIX,-21.8016687,-46.5421414
Santa Rosália,Região Urbana Homogênea XVII,-21.7790987,-46.5403355
Residencial Greenville,Região Urbana Homogênea XX,-21.806647,-46.5546122
Parque Vivaldi Leite Ribeiro,Região Urbana Homogênea XX,-21.81375601634671,-46.552913411514936
Campo das Aroeiras,Região Urbana Homogênea III,-21.804253542953344,-46.60479880054678
Chacaras Pocos de Caldas,Região Urbana Homogênea XXV,-21.81883379727395,-46.49505449166584
Centreville,Região Urbana Homogênea III,-21.800566071185134,-46.59594116040944
Residencial Tiradentes,Região Urbana Homogênea XII,-21.82939298013878,-46.57831163025836
Chacara Praia do Sol,Região Urbana Homogênea I,-21.789450351331265,-46.64351857694819
Joias do Vale do Sol,Região Urbana Homogênea I,-21.784817529261407,-46.63074648075081
Maria Imaculada,Região Urbana Homogênea III,-21.805831295508764,-46.60027019177366
Jardim São Sebastião,Região Urbana Homogênea XII,-21.856242340958364,-46.5715135400016
Residencial Vila Colinas,Região Urbana Homogênea XI,-21.812932377549288,-46.56821813392771
Condominio Campo Alegre,Região Urbana Homogênea XXVII,-21.824246190180965,-46.646531140454435
Alto da Boa Vista,Região Urbana Homogênea I,-21.772920362175324,-46.638190588705996
São Domingos,Região Urbana Homogênea V,-21.78281824706623,-46.57745320676616
Bortolan Norte,Região Urbana Homogênea I,-21.775783747178732,-46.622994461216976
Bortolan Sul,Região Urbana Homogênea I,-21.823714524674003,-46.63408956470477
Distrito Industrial,Região Urbana Homogênea XXVII,-21.838750227864654,-46.649204737660334
Residencial Campo da Cachoeira,Região Urbana Homogênea I,-21.790983542152667,-46.63028468648827
Chácara São Francisco,Região Urbana Homogênea I,-21.786509709958093,-46.64176435562037
Royal Park,Região Urbana Homogênea III,-21.791169661720495,-46.60703027783512
São Conrado,Região Urbana Homogênea VIII,-21.795879344396806,-46.572894465075834
Jardim Kennedy II,Região Urbana Homogênea XII,-21.840482470862177,-46.577128786545636
Jardim Gama Cruz,Região Urbana Homogênea IV,-21.7817697147163,-46.588518261106486
Vila Lider,Região Urbana Homogênea X,-21.797208798941643,-46.5689565382016
Vila Rabelo,Região Urbana Homogênea I,-21.789867219687505,-46.64059999691862
Jardim Elizabete,Região Urbana Homogênea IV,-21.781737741700013,-46.60121272555981
Cristiano Ozório,Região Urbana Homogênea XIV,-21.783419179314663,-46.56245415303322
Jardins de Florença,Região Urbana Homogênea VI,-21.809524294370455,-46.586436598042674
Chácara Santa Bárbara,,-21.766334523665428,-46.58061700671861
Residencial Colinas do Sul,Região Urbana Homogênea XX,-21.805388676540446,-46.5418411173027
