neighborhood,neighbor_region,neighbor_latitude,neighbor_longitude
residencial_torre,Região Urbana Homogênea XXI,-21.7894024,-46.5373256
loteamento_nova_primavera,Região Urbana Homogênea XXI,-21.7883469,-46.5358545
"dom_bosco_i,_ii,_iii",Região Urbana Homogênea XXII,-21.7902819,-46.5398988
augusto_de_almeida,Região Urbana Homogênea XXII,-21.7929826,-46.5301028
boa_esperanca,Região Urbana Homogênea XXII,-21.7965637,-46.5219784
campo_do_retirinho,Região Urbana Homogênea XXII,-21.7957983,-46.5261391
dom_bosco,Região Urbana Homogênea XXII,-21.7997055,-46.534316
estancia_sao_jose,Região Urbana Homogênea XXII,-21.8005226,-46.5222792
jardim_campos_elisios,Região Urbana Homogênea XXIII,-21.7981758,-46.507839
campos_eliseos,Região Urbana Homogênea XXIII,-21.7981758,-46.507839
jardim_itamaraty_i,Região Urbana Homogênea XXIV,-21.8164004,-46.500019
"jardim_itamaraty_i,_ii,_iii,_iv_e_v",Região Urbana Homogênea XXIV,-21.8164004,-46.500019
jardim_itamaraty_v,Região Urbana Homogênea XXIV,-21.8114624,-46.5003808
jardim_itamaraty_ii,Região Urbana Homogênea XXIV,-21.8164004,-46.500019
parque_pinheiros,Região Urbana Homogênea XXIV,-21.8076838,-46.5042296
marco_divisorio,Região Urbana Homogênea XXVII,-21.8447508,-46.6797948
jardim_das_hortensias,Região Urbana Homogênea XX,-21.8084079,-46.5391315
jardim_dos_estados,Região Urbana Homogênea XIV,-21.7759002,-46.5523766
jardim_country_club,Região Urbana Homogênea III,-21.7963333,-46.6150375
monte_verde,Região Urbana Homogênea XX,-21.7948209,-46.5450916
jardim_das_azaleias,Região Urbana Homogênea XX,-21.8099781,-46.5457536
parque_primavera,Região Urbana Homogênea XXI,-21.7633067,-46.5210757
jardim_amaryllis,Região Urbana Homogênea XX,-21.8052351,-46.5412384
estancia_pocos_de_caldas,Região Urbana Homogênea XXIV,-21.779225,-46.4825787
jardim_doutor_ottoni,Região Urbana Homogênea III,-21.7931797,-46.609009
jardim_philadelphia,Região Urbana Homogênea XXIII,-21.8203359,-46.5138553
caio_junqueira,Região Urbana Homogênea XIX,-21.8056108,-46.5505702
jardim_dos_manacas,Região Urbana Homogênea III,-21.7988892,-46.6049089
jardim_santa_rosalia,Região Urbana Homogênea XVII,-21.7790987,-46.5403355
residencial_paineiras,Região Urbana Homogênea III,-21.7971894,-46.592133
morada_dos_passaros,Região Urbana Homogênea XXVI,-21.7982681,-46.4537256
parque_veu_das_noivas,Região Urbana Homogênea II,-21.7804822,-46.6138317
vale_das_antas,Região Urbana Homogênea II,-21.7551437,-46.6053922
jardim_paraiso,Região Urbana Homogênea XII,-21.8456583,-46.52589
jardim_itamaraty_iii,Região Urbana Homogênea XXIV,-21.8136252,-46.502425
jardim_formosa,Região Urbana Homogênea XXII,-21.7981122,-46.5385295
parque_san_carlo,Região Urbana Homogênea III,-21.7975849,-46.5924343
jardim_philadelphia_ii,Região Urbana Homogênea XXIII,-21.8206701,-46.5210419
bortolan,Região Urbana Homogênea I,-21.7740867,-46.630715
jardim_novo_mundo,Região Urbana Homogênea VI,-21.7999744,-46.5879149
parque_nova_aurora,Região Urbana Homogênea XIX,-21.8016687,-46.5421414
bortolan_norte,Região Urbana Homogênea I,-21.7740867,-46.630715
panorama,Região Urbana Homogênea I,-21.7827694,-46.642778
jardim_das_azaleas,Região Urbana Homogênea XX,-21.8099781,-46.5457536
jardim_das_amaryllis,Região Urbana Homogênea XX,-21.8052351,-46.5412384
jardim_ottoni,Região Urbana Homogênea III,-21.7931797,-46.609009
morada_das_flores,Região Urbana Homogênea XXV,-21.8192083,-46.4759651
nova_aurora,Região Urbana Homogênea XIX,-21.8016687,-46.5421414
santa_rosalia,Região Urbana Homogênea XVII,-21.7790987,-46.5403355
residencial_greenville,Região Urbana Homogênea XX,-21.806647,-46.5546122
parque_vivaldi_leite_ribeiro,Região Urbana Homogênea XX,-21.81375601634671,-46.552913411514936
campo_das_aroeiras,Região Urbana Homogênea III,-21.804253542953344,-46.60479880054678
centreville,Região Urbana Homogênea III,-21.80056607118513,-46.59594116040944
residencial_tiradentes,Região Urbana Homogênea XII,-21.82939298013878,-46.57831163025836
joias_do_vale_do_sol,Região Urbana Homogênea I,-21.784817529261407,-46.63074648075081
chacara_praia_do_sol,Região Urbana Homogênea I,-21.788975829230985,-46.64365806046003
maria_imaculada,Região Urbana Homogênea III,-21.805831295508764,-46.60027019177366
residencial_vila_colinas,Região Urbana Homogênea XI,-21.812932377549288,-46.56821813392771
condominio_campo_alegre,Região Urbana Homogênea XXVII,-21.824246190180965,-46.64653114045444
alto_da_boa_vista,Região Urbana Homogênea I,-21.772920362175324,-46.638190588706
sao_domingos,Região Urbana Homogênea V,-21.78281824706623,-46.57745320676616
bortolan_sul,Região Urbana Homogênea I,-21.823714524674003,-46.63408956470477
distrito_industrial,Região Urbana Homogênea XXVII,-21.83875022786465,-46.649204737660334
residencial_campo_da_cachoeira,Região Urbana Homogênea I,-21.790983542152667,-46.63028468648827
royal_park,Região Urbana Homogênea III,-21.79116966172049,-46.60703027783512
sao_conrado,Região Urbana Homogênea VIII,-21.79587934439681,-46.57289446507584
jardim_kennedy_ii,Região Urbana Homogênea XII,-21.840482470862177,-46.57712878654564
jardim_gama_cruz,Região Urbana Homogênea IV,-21.7817697147163,-46.588518261106486
vila_rabelo,Região Urbana Homogênea I,-21.789867219687505,-46.64059999691862
jardim_elizabete,Região Urbana Homogênea IV,-21.781737741700013,-46.60121272555981
cristiano_ozorio,Região Urbana Homogênea XIV,-21.783419179314663,-46.56245415303322
jardins_de_florenca,Região Urbana Homogênea VI,-21.80952429437045,-46.586436598042674
residencial_colinas_do_sul,Região Urbana Homogênea XX,-21.80538867654045,-46.5418411173027
chacara_alvorada,Região Urbana Homogênea XXII,-21.798683331251606,-46.52809928979513
chacara_sao_francisco,Região Urbana Homogênea I,-21.785936498423176,-46.64167383173906
